symbol,row,column,name
He,1,18,Helium
Ne,2,18,Neon
Ar,3,18,Argon
Kr,4,18,Krypton
Xe,5,18,Xenon
Pm,9,8,Promethium
Po,6,16,Polonium
At,6,17,Astatine
Rn,6,18,Radon
Fr,7,1,Francium
Ra,7,2,Radium
Ac,10,4,Actinium
Pa,10,6,Protactinium
Np,10,8,Neptunium
Pu,10,9,Plutonium
Am,10,10,Americium
Cm,10,11,Curium
Bk,10,12,Berkelium
Cf,10,13,Californium
Es,10,14,Einsteinium
Fm,10,15,Fermium
Md,10,16,Mendelevium
No,10,17,Nobelium
Lr,10,18,Lawrencium
Rf,7,4,Rutherfordium
Db,7,5,Dubnium
Sg,7,6,Seaborgium
Bh,7,7,Bohrium
Hs,7,8,Hassium
Mt,7,9,Meitnerium
Ds,7,10,Darmstadtium
Rg,7,11,Roentgenium
Cn,7,12,Copernicium
Nh,7,13,Nihonium
Fl,7,14,Flerovium
Mc,7,15,Moscovium
Lv,7,16,Livemorium
Ts,7,17,Tennessine
Og,7,18,Oranesson
Tc,5,7,Technetium
Tm,9,16,Thulium
Re,6,7,Rhenium
Be,2,2,Beryllium
U,10,7,Uranium
Hf,6,4,Hafnium
Rh,5,9,Rhodium
Au,6,11,Gold
Os,6,8,Osmium
Ho,9,14,Holmium
Ir,6,9,Iridium
Ni,4,10,Nickel
Ru,5,8,Ruthenium
W,6,6,Tungsten
Th,10,5,Thorium
Pt,6,10,Platinum
Tb,9,12,Terbium
Lu,9,18,Lutetium
Co,4,9,Cobalt
Er,9,15,Erbium
Pd,5,10,Palladium
Cr,4,6,Chromium
Zr,5,4,Zirconium
Dy,9,13,Dysprosium
Nd,9,7,Neodymium
Sc,4,3,Scandium
Pr,9,6,Praseodymium
Mg,3,2,Magnesium
Yb,9,17,Ytterbium
Fe,4,8,Iron
Ce,9,5,Cerium
Ti,4,4,Titanium
Ca,4,2,Calcium
Mn,4,7,Manganese
Mo,5,6,Molybdenum
Gd,9,11,Gadolinium
Nb,5,5,Niobium
Sr,5,2,Strontium
Sm,9,9,Samarium
V,4,5,Vanadium
Br,4,17,Bromine
Ta,6,5,Tantalum
Eu,9,10,Europium
Al,3,13,Aluminum
Y,5,3,Yttrium
Cl,3,17,Chlorine
F,2,17,Fluorine
La,9,4,Lanthanum
Tl,6,13,Thallium
Si,3,14,Silicon
Li,2,1,Lithium
Na,3,1,Sodium
Rb,5,1,Rubidium
Hg,6,12,Mercury
Ag,5,11,Silver
Zn,4,12,Zinc
Cs,6,1,Cesium
H,1,1,Hydrogen
Pb,6,14,Lead
K,4,1,Potassium
Sn,5,14,Tin
Ba,6,2,Barium
Bi,6,15,Bismuth
Cd,5,12,Cadmium
As,4,15,Arsenic
Cu,4,11,Copper
Ge,4,14,Germanium
N,2,15,Nitrogen
Sb,5,15,Antimony
In,5,13,Indium
Ga,4,13,Gallium
I,5,17,Iodine
Te,5,16,Tellurium
P,3,15,Phosphorus
B,2,13,Boron
O,2,16,Oxygen
Se,4,16,Selenium
C,2,14,Carbon
S,3,16,Sulfur
