,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg
Sc,0,8,7,1,-8,-11,-30,-39,-24,-29,1,4,18,11,-39,-44,-61,-86,-28,-30,5,16,9,-17,-39,-62,-89,-74,-37
Ti,8,0,-2,-7,-8,-17,-28,-35,-9,-15,15,0,2,-4,-39,-43,-52,-65,-2,-8,0,1,-6,-25,-41,-57,-74,-47,-10
V,7,-2,0,-2,-1,-7,-14,-18,5,-2,17,-4,-1,0,-21,-25,-29,-35,17,9,-2,-1,-1,-13,-23,-34,-45,-19,10
Cr,7,-7,-2,0,2,-1,-4,-7,12,5,11,-12,-7,0,-9,-12,-13,-15,27,17,-9,-7,1,-4,-11,-18,-24,0,21
Mn,-8,-8,-1,2,0,0,-5,-8,4,-6,-1,-15,-4,5,-8,-11,-16,-23,13,2,-12,-4,6,-1,-9,-18,-28,-11,4
Fe,-11,-17,-7,-1,0,0,-1,-2,13,4,-1,-25,-16,-2,-3,-5,-5,-4,28,17,-21,-15,0,0,-4,-9,-13,8,22
Co,-30,-28,-14,-4,-5,-1,0,0,6,-5,-22,-41,-25,-5,0,-1,-2,-1,19,6,-35,-24,-1,2,0,-3,-7,7,12
Ni,-39,-35,-18,-7,-8,-2,0,0,4,-9,-31,-49,-30,-7,1,0,-1,0,15,2,-42,-29,-3,2,1,-2,-5,7,8
Cu,-24,-9,5,12,4,13,6,4,0,1,-22,-23,3,19,8,7,-2,-14,2,6,-17,2,22,18,10,0,-12,-9,8
Zn,-29,-15,-2,5,-6,4,-5,-9,1,0,-31,-29,-1,12,-4,-5,-17,-33,-4,1,-24,-3,15,8,-1,-13,-29,-16,1
Y,1,15,17,11,-1,-1,-22,-31,-22,-31,0,9,30,24,-29,-34,-54,-84,-29,-35,11,27,24,-4,-28,-53,-83,-74,-43
Zr,4,0,-4,-12,-15,-25,-41,-49,-23,-29,9,0,4,-6,-53,-59,-72,-91,-20,-26,0,3,-9,-35,-55,-76,-100,-74,-31
Nb,18,2,-1,-7,-4,-16,-25,-30,3,-1,30,4,0,-6,-36,-41,-46,-53,16,11,4,0,-8,-26,-39,-53,-67,-32,11
Mo,11,-4,0,0,5,-2,-5,-7,19,12,24,-6,-6,0,-11,-14,-15,-15,37,28,-4,-5,0,-7,-14,-21,-28,3,32
Tc,-39,-39,-21,-9,-8,-3,0,1,8,-4,-29,-53,-36,-11,0,0,0,4,24,10,-47,-35,-7,0,0,-2,-3,14,18
Ru,-44,-43,-25,-12,-11,-5,-1,0,7,-5,-34,-59,-41,-14,0,0,1,6,23,9,-52,-39,-10,-1,0,-1,-1,15,18
Rh,-61,-52,-29,-13,-16,-5,-2,-1,-2,-17,-54,-72,-46,-15,0,1,0,2,10,-6,-63,-45,-9,1,2,1,-2,7,2
Pd,-86,-65,-35,-15,-23,-4,-1,0,-14,-33,-84,-91,-53,-15,4,6,2,0,-7,-26,-80,-52,-6,6,8,6,2,0,-18
Ag,-28,-2,17,27,13,28,19,15,2,-4,-29,-20,16,37,24,23,10,-7,0,-2,-13,15,43,38,28,16,-1,-6,-1
Cd,-30,-8,9,17,2,17,6,2,6,1,-35,-26,11,28,10,9,-6,-26,-2,0,-19,9,33,25,14,0,-18,-11,0
Hf,5,0,-2,-9,-12,-21,-35,-42,-17,-24,11,0,4,-4,-47,-52,-63,-80,-13,-19,0,3,-6,-30,-48,-68,-90,-63,-23
Ta,16,1,-1,-7,-4,-15,-24,-29,2,-3,27,3,0,-5,-35,-39,-45,-52,15,9,3,0,-7,-24,-38,-52,-66,-32,9
W,9,-6,-1,1,6,0,-1,-3,22,15,24,-9,-8,0,-7,-10,-9,-6,43,33,-6,-7,0,-4,-10,-16,-20,12,38
Re,-17,-25,-13,-4,-1,0,2,2,18,8,-4,-35,-26,-7,0,-1,1,6,38,25,-30,-24,-4,0,-1,-3,-4,20,33
Os,-39,-41,-23,-11,-9,-4,0,1,10,-1,-28,-55,-39,-14,0,0,2,8,28,14,-48,-38,-10,-1,0,-1,0,18,23
Ir,-62,-57,-34,-18,-18,-9,-3,-2,0,-13,-53,-76,-53,-21,-2,-1,1,6,16,0,-68,-52,-16,-3,-1,0,0,13,9
Pt,-89,-74,-45,-24,-28,-13,-7,-5,-12,-29,-83,-100,-67,-28,-3,-1,-2,2,-1,-18,-90,-66,-20,-4,0,0,0,4,-9
Au,-74,-47,-19,0,-11,8,7,7,-9,-16,-74,-74,-32,3,14,15,7,0,-6,-11,-63,-32,12,20,18,13,4,0,-4
Hg,-37,-10,10,21,4,22,12,8,8,1,-43,-31,11,32,18,18,2,-18,-1,0,-23,9,38,33,23,9,-9,-4,0
